Year,State,FIPS,Hesitancy,Hesitancy Level,Hesitancy measles,Hesitancy measles rate
2001.0,California,6039,28.0,0.0128146453089244,108.0,0.0494279176201373
2001.0,California,6041,115.0,0.0426083734716561,203.0,0.0752130418673582
2001.0,California,6043,7.0,0.0397727272727272,23.0,0.1306818181818181
2001.0,California,6045,40.0,0.040983606557377,91.0,0.0932377049180328
2001.0,California,6047,19.0,0.0046637211585665,81.0,0.0198821796759941
2001.0,California,6049,14.0,0.0958904109589041,18.0,0.1232876712328767
2001.0,California,6051,2.0,0.0150375939849624,4.0,0.0300751879699248
2001.0,California,6053,54.0,0.0086649550706033,163.0,0.0261553273427471
2001.0,California,6055,31.0,0.020221787345075,82.0,0.0534898891063274
2001.0,California,6057,106.0,0.1167400881057268,161.0,0.1773127753303964
2001.0,California,6059,551.0,0.012274448652261,2123.0,0.0472933838271329
2001.0,California,6061,152.0,0.0345690243347737,285.0,0.0648169206277007
2001.0,California,6063,10.0,0.0531914893617021,15.0,0.0797872340425532
2001.0,California,6065,263.0,0.0098380279055848,871.0,0.0325814536340852
2001.0,California,6067,282.0,0.0152762730227518,1202.0,0.0651137594799566
2001.0,California,6069,7.0,0.0072916666666666,20.0,0.0208333333333333
2001.0,California,6071,355.0,0.0117134655360147,777.0,0.0256376414689675
2001.0,California,6073,726.0,0.0175970138400756,1711.0,0.0414717502484426
2001.0,California,6075,31.0,0.0047184170471841,322.0,0.0490106544901065
2001.0,California,6077,94.0,0.0094386986645245,296.0,0.0297218596244602
2001.0,California,6079,111.0,0.0420295342673229,184.0,0.0696705793260128
2001.0,California,6081,124.0,0.0149650012068549,492.0,0.059377262853005
2001.0,California,6083,194.0,0.0339398180545836,375.0,0.0656053184044786
2001.0,California,6085,262.0,0.0106877702537325,1065.0,0.0434445622909357
2001.0,California,6087,177.0,0.0517846693973083,283.0,0.0827969572849619
2001.0,California,6089,83.0,0.0392064241851676,156.0,0.0736891828058573
2001.0,California,6091,1.0,0.032258064516129,4.0,0.1290322580645161
2001.0,California,6093,38.0,0.0865603644646924,57.0,0.1298405466970387
2001.0,California,6095,60.0,0.0102214650766609,210.0,0.0357751277683134
2001.0,California,6097,233.0,0.040013738622703,370.0,0.0635411300017173
2001.0,California,6099,129.0,0.0159200296186597,259.0,0.0319634703196347
2001.0,California,6101,3.0,0.0024370430544272,31.0,0.025182778229082
2001.0,California,6103,30.0,0.0376411543287327,45.0,0.0564617314930991
2001.0,California,6105,8.0,0.0707964601769911,8.0,0.0707964601769911
2001.0,California,6107,92.0,0.0125923898165891,244.0,0.0333972077744319
2001.0,California,6109,38.0,0.0673758865248227,104.0,0.1843971631205673
2001.0,California,6111,207.0,0.0172012630879175,785.0,0.0652318431111849
2001.0,California,6113,34.0,0.0148796498905908,112.0,0.049015317286652
2001.0,California,6115,17.0,0.0139344262295081,100.0,0.081967213114754
2002.0,California,6001,170.0,0.0092875874125874,896.0,0.0489510489510489
2002.0,California,6003,0.0,0.0,2.0,0.1666666666666666
2002.0,California,6005,4.0,0.0119047619047619,7.0,0.0208333333333333
2002.0,California,6007,85.0,0.0359408033826638,138.0,0.0583509513742071
2002.0,California,6009,26.0,0.0613207547169811,31.0,0.0731132075471698
2002.0,California,6011,4.0,0.0128617363344051,17.0,0.0546623794212218
2002.0,California,6013,192.0,0.0141467727674624,397.0,0.0292513999410551
2002.0,California,6015,6.0,0.018348623853211,10.0,0.0305810397553516
2002.0,California,6017,86.0,0.0431726907630522,130.0,0.0652610441767068
2002.0,California,6019,78.0,0.0053571428571428,271.0,0.0186126373626373
2002.0,California,6021,2.0,0.0044543429844097,8.0,0.0178173719376391
2002.0,California,6023,68.0,0.0491684743311641,101.0,0.0730296456977585
2002.0,California,6025,5.0,0.0019485580670303,69.0,0.0268901013250194
2002.0,California,6027,0.0,0.0,0.0,0.0
2002.0,California,6029,179.0,0.0149628019727493,443.0,0.0370308451057427
2002.0,California,6031,12.0,0.0052287581699346,33.0,0.0143790849673202
2002.0,California,6033,21.0,0.0286103542234332,55.0,0.0749318801089918
2002.0,California,6035,15.0,0.0393700787401574,48.0,0.1259842519685039
2002.0,California,6037,969.0,0.0065891024812832,6342.0,0.043124961750566
2002.0,California,6039,16.0,0.007168458781362,88.0,0.039426523297491
2002.0,California,6041,103.0,0.0385046728971962,177.0,0.0661682242990654
2002.0,California,6043,6.0,0.0382165605095541,8.0,0.0509554140127388
2002.0,California,6045,41.0,0.0409181636726546,100.0,0.0998003992015968
2002.0,California,6047,16.0,0.0039091131199609,92.0,0.0224774004397752
2002.0,California,6049,8.0,0.0655737704918032,10.0,0.081967213114754
